"Ride Data","","","","","","","","","","","","","","","","",""
"request_id","accepted_ts","rider_id","driver_id","ride_id","pickup_walk_duration","van_id","Ride_Zone","ride_status","ride_distance_km","last_update_ts","van_is_here_sms_ts","pickup_ts","original_ride_pickup_eta_ts","running_early_notified_ts","running_late_notified_ts","dropoff_ts","pricing_id"
"33269979","1496563553685","368601","9968","15213145","148","10180","Manhattan","Completed","1.2","1496564711264","1496564568394","1496564400242","1496559335200","NULL","NULL","1496564665640","343"
"33270327","1496564262332","812958","14639","15213181","186","4637","JFK","No_Showed","30.13","1496564992697","1496564901502","1496564759046","NULL","NULL","NULL","1496564988210","335"
"33270441","1496564482486","658313","15074","15213192","185","15632","Manhattan","Cancelled","2.29","1496565473771","1496565351017","1496565236560","NULL","NULL","NULL","1496565384675","287"
"33270465","1496564554122","615218","10610","15213196","143","10940","Brooklyn","Completed","9.3","1496566006600","1496565133875","1496565038706","NULL","NULL","NULL","1496565999896","423"
"33270548","1496564712001","504905","7142","15213203","5","7264","Manhattan","No_Showed","7.58","1496564870416","NULL","1496564715183","NULL","NULL","NULL","1496564818954","352"
"33270734","1496565441343","816213","15074","15213238","96","15632","JFK","Cancelled","28.06","1496566200510","1496565870514","1496565738216","NULL","NULL","NULL","1496566089825","335"
"33270770","1496565876082","816695","12913","15213253","191","24138","Manhattan","Completed","5.69","1496566373067","1496566277142","1496566025641","NULL","NULL","NULL","1496566369808","352"
"33270810","1496566342171","386036","13401","15213272","228","13851","Manhattan","No_Showed","7.09","1496566924301","1496566733729","1496566557429","NULL","NULL","NULL","1496566801296","352"
"33270957","1496568722132","605895","11234","15213333","92","11561","Manhattan","Cancelled","9.19","1496569089518","1496568993099","1496568807371","NULL","NULL","NULL","1496569083994","352"
"","","","","","","","","","","","","","","","","",""
"Offroute Data","","","","","","","","","","","","","","","","",""
"id","message_event_type","van_id","gps_lat","gps_lng","timestamp","pickups","dropoffs","city_id","van_route","","","","","","","",""
"eedbdc4a-b713-11e7-adfa-0ea27eb072a0","offroute_recalculate","28060","40.75078363","-73.94551328","1508668190","","{""45302981"": {""lng"": -73.9782599028","1","[{""lng"":-73.98256517841062,""eta_ts"":1508668214,""la","","","","","","","",""
"ee46766e-b713-11e7-a516-0ea27eb072a0","offroute_recalculate","24138","40.7958178","-73.970884","1508668189","{""45303019"": {""lng"": -73.970177913","","1","[{""lng"":2.3536074834045717,""eta_ts"":1508668209,""la","","","","","","","",""
"ecf7b502-b713-11e7-9190-124844a36218","offroute_recalculate","29761","40.7582025","-73.987757","1508668187","{""45303000"": {""lng"": -73.9886355515","","1","[{""lng"":-73.97430572271519,""eta_ts"":1508668208,""la","","","","","","","",""
"ebb004b0-b713-11e7-9190-124844a36218","offroute_recalculate","27631","40.64495049","-73.77811278","1508668184","{""45303032"": {""lng"": -73.782757068","","4","[{""lng"":2.3407829230920734,""eta_ts"":1508668206,""la","","","","","","","",""
"d8eb9ed4-b713-11e7-bf72-0ea27eb072a0","offroute_recalculate","32085","40.74263473","-73.98236832","1508668153","{""45303005"": {""lng"": -73.9739457448","","4","[{""lng"":-74.01496487663995,""eta_ts"":1508668201,""la","","","","","","","",""
"d39cbe40-b713-11e7-9663-124844a36218","offroute_recalculate","31217","40.76621751","-73.98167234","1508668144","","{""45302955"": {""lng"": -74.004407705","4","[{""lng"":-73.95309872241074,""eta_ts"":1508668201,""la","","","","","","","",""
"d1b60816-b713-11e7-bf72-0ea27eb072a0","offroute_recalculate","32085","40.74492651","-73.98486068","1508668141","{""45303005"": {""lng"": -73.9739457448","","4","[{""lng"":2.349574927793188,""eta_ts"":1508668200,""lat","","","","","","","",""
"c26c7444-b713-11e7-8618-124844a36218","offroute_recalculate","7529","40.7480355","-73.9880406","1508668115","{""45303021"": {""lng"": -73.9931515125","","1","[{""lng"":-73.95002828414053,""eta_ts"":1508668198,""la","","","","","","","",""
"b484009a-b713-11e7-8618-124844a36218","offroute_recalculate","4637","40.73195458","-73.98399337","1508668092","{""45303002"": {""lng"": -73.9341247895","","1","[{""lng"":2.3918555514062634,""eta_ts"":1508668193,""la","","","","","","","",""
"a4a87caa-b713-11e7-8618-124844a36218","offroute_recalculate","11685","40.7197416","-73.9471512","1508668065","{""45302988"": {""lng"": -73.9505702665","","1","[{""lng"":2.3539320619461566,""eta_ts"":1508668191,""la","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
